nid,title,uuid,field_leg_hosting_site_value,field_leg_hosting_master_stage_value,HMS_UUID,HMS_Value,Acquia_Hosting_Product,field_leg_remote_admin_value,field_active_value,field_ra_pref_update_value,RA_Pref_Update_UUID,date,docroot,realm,prod_env_core,ra_env_core,Prod Formatted Version,RA Formatted Version,Prod Major Version,Prod Release,Prod Secure,RA Major Version,RA Release,RA Secure,Prod Current,RA Current,RA Pref
8549586,cbAPCovid19,d630e7ed-7d68-49db-b9c5-118b5af4b675,cbapcovid19,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,cbapcovid19,prod,917,111,9.1.7,1.1.1,9.x,2021-04-21,0,,,0,,,Update
8549996,Better Safer Care,eb998a61-1a94-4ea2-9682-c3edaf5d9d4c,bettersafercare,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,bettersafercare,prod,111,111,1.1.1,1.1.1,,,0,,,0,,,
8550346,Empower Retirement,6b9c7c60-15b9-47ac-9c27-b0fe2209ad35,empwrretiremt,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,empwrretiremt,prod,8916,111,8.9.16,1.1.1,8.x,2021-05-26,1,,,0,x,,Update
8550371,Bryn Mawr College,ec65f150-8ab7-43be-8cbb-460fe4fa0779,brynmawr,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,brynmawr,prod,780,111,7.80,1.1.1,7.x,2021-04-21,1,,,0,,,Update
8550416,eEA Corporate,8ed3a5d2-17c7-4d9b-bde8-89a2cde22e74,eeacorporate,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,eeacorporate,prod,8910,111,8.9.10,1.1.1,8.x,2020-11-25,0,,,0,,,Update
8550521,FINSIA,faae7c88-1ab3-4398-91cd-d9fb745167cd,finsia,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,finsia,prod,8913,111,8.9.13,1.1.1,8.x,2021-01-21,0,,,0,,,Update
8550666,pfinfopfizerprojp,82eebd6b-693b-4a8e-95f0-8ed2d192e45a,pfinfopfizerprojp,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,none,82eebd6b-693b-4a8e-95f0-8ed2d192e45a,2021-06-08,pfinfopfizerprojp,prod,111,111,1.1.1,1.1.1,,,0,,,0,,,
8552006,University of East London,d3d9d8ce-4b2a-40c6-b597-e7d24ce0022b,univeastlond,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,univeastlond,prod,8915,8913,8.9.15,8.9.13,8.x,2021-05-05,0,8.x,2021-01-21,0,,,Update
8552461,clackamasintra,038d224f-ef7e-4ce7-a35f-d74ff073557c,clackamasintra,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,clackamasintra,prod,8911,8916,8.9.11,8.9.16,8.x,2020-12-03,0,8.x,2021-05-26,1,,x,Update
8553011,saintpaullts,abacf039-be28-4b51-948c-be18a54ebff5,saintpaullts,d6e4a9b6646c62fc48baa6dd6150d1f7,d6e4a9b6646c62fc48baa6dd6150d1f7,prod,ACE,1,1,,,2021-06-08,saintpaullts,prod,8915,8915,8.9.15,8.9.15,8.x,2021-05-05,0,8.x,2021-05-05,0,,,Update
